ID,translation_len,total_duration_translation,load_duration_translation,prompt_eval_count_translation,prompt_eval_duration_translation,eval_count_translation,eval_duration_translation,translation_time,configuration_len,total_duration_configuration,load_duration_configuration,prompt_eval_count_configuration,prompt_eval_duration_configuration,eval_count_configuration,eval_duration_configuration,configuration_time,number_of_objectives,Type
75,1732,3.4678532203666665,4.998133333333333e-06,784,2.0533387,397,1.4144624166666666,0:03:28,632,1.916077828,4.423216666666667e-06,611,1.6088278,89,0.30719721666666666,01:55.0,6,1
76,594,2.49870621955,5.45025e-06,784,2.0607200166666666,124,0.4379344333333333,0:02:30,1457,1.9350228438833332,4.325383333333333e-06,338,0.8654765,309,1.0694992166666666,01:56.0,3,1
77,796,2.7392200387833334,5.704616666666666e-06,787,2.0632773,190,0.6758900666666666,0:02:44,1361,2.751925276366667,4.395033333333334e-06,404,1.0535910666666666,486,1.6982960166666667,02:45.0,5,2
78,1730,3.48820817625,5.645966666666666e-06,787,2.072398616666667,397,1.4157495333333334,0:03:29,4615,6.257758639866666,4.377383333333333e-06,611,1.5868088,1283,4.670895833333334,06:15.0,4,2
79,1270,3.015144164966667,4.845433333333334e-06,787,2.0797277833333334,263,0.9353636333333334,0:03:01,1647,2.4391166315,4.4602333333333335e-06,477,1.23635005,344,1.2027109166666667,02:26.0,5,2
80,837,2.8130003043166667,4.972566666666667e-06,787,2.0631715833333333,211,0.7497753833333334,0:02:49,781,1.9836945965333332,4.528766666666666e-06,425,1.1001320833333332,255,0.8835236166666667,01:59.0,4,2
81,1104,2.8856344072833333,5.021833333333333e-06,787,2.04312895,236,0.8424439666666667,0:02:53,369,1.3523351309333334,4.068283333333333e-06,450,1.1673907,54,0.18490176666666666,01:21.0,2,1
82,4739,8.097684094883334,4.868616666666667e-06,787,2.0625418333333334,1638,6.0350812666666664,0:08:06,5536,11.685243883833333,5.24575e-06,1860,5.048067783333333,1774,6.637091516666667,11:41.0,2,1
83,446,2.3183052981166665,4.776916666666667e-06,795,2.0835189666666665,67,0.23473276666666668,0:02:19,1384,2.0980133907,4.33585e-06,281,0.7216663,398,1.3763142666666666,02:06.0,2,1
84,410,2.26982491955,4.854816666666666e-06,787,2.072421266666667,57,0.19734898333333334,0:02:16,426,0.96493392005,4.3409e-06,271,0.70491025,77,0.25998961666666665,00:58.0,2,1
85,1495,3.2713579748166666,4.949533333333333e-06,788,2.051438383333333,343,1.2198666833333334,0:03:16,882,2.0322151973,4.4057333333333334e-06,557,1.4548282,167,0.5773276666666667,02:02.0,3,3
86,605,2.3882669606833336,5.327366666666667e-06,788,2.051301383333333,96,0.3369009333333333,0:02:23,372,0.8901609694833333,4.359516666666667e-06,310,0.80155695,27,0.08855966666666666,00:53.0,5,3
87,1835,3.623632488,4.901366666666667e-06,788,2.052755716666667,438,1.5708246,0:03:37,1629,3.2126732385666665,4.502283333333333e-06,652,1.693573,429,1.5190368166666666,03:13.0,6,3
88,2113,3.78713757425,"0,004703",788,2.06420745,481,1.7228761333333333,0:03:47,536,2.1672945694666668,4.3343e-06,695,1.8090897666666668,102,0.35814613333333334,02:10.0,3,3
89,3880,7.0411658984,4.948266666666666e-06,788,2.0594218333333334,1358,4.981690883333333,0:07:02,2107,6.726151549333333,4.846333333333333e-06,1580,4.236206416666667,665,2.4898702333333333,06:44.0,9,4
90,2788,5.074323295916667,4.898433333333333e-06,796,2.07168425,830,3.0025782833333334,0:05:04,2384,5.411455278916667,4.7751e-06,1044,2.7607703166666666,724,2.6506224,05:25.0,5,4
